Year,TEAM,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LV,LAR,LAC,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SF,SEA,TB,TEN,WSH
2024,1,@BUF,PIT,@KC,ARI,@NO,TEN,NE,DAL,@CLE,@SEA,LAR,@PHI,@IND,HOU,@MIA,BAL,@LAC,@DET,LV,JAX,@NYG,@CIN,CAR,MIN,@SF,GB,@ATL,NYJ,DEN,WSH,@CHI,@TB
2024,2,LAR,@PHI,LV,@MIA,LAC,@HOU,@KC,@JAX,NO,PIT,TB,IND,CHI,@GB,CLE,CIN,@BAL,@ARI,@CAR,BUF,SF,SEA,@DAL,@WSH,@TEN,ATL,@DEN,@MIN,@NE,@DET,NYJ,NYG
2024,3,DET,KC,@DAL,JAX,@LV,@IND,WSH,NYG,BAL,@TB,@ARI,@TEN,@MIN,CHI,@BUF,@ATL,CAR,SF,@PIT,@SEA,HOU,@NYJ,PHI,@CLE,NE,@NO,LAC,@LAR,MIA,DEN,GB,@CIN
2024,4,WSH,NO,BUF,@BAL,CIN,LAR,@CAR,@LV,@NYG,@NYJ,SEA,MIN,JAX,PIT,@HOU,@LAC,CLE,@CHI,KC,TEN,@GB,@SF,@ATL,DAL,DEN,@TB,@IND,NE,@DET,PHI,@MIA,@ARI
2024,5,@SF,TB,@CIN,@HOU,@CHI,CAR,BAL,@WSH,@PIT,LV,BYE,@LAR,BUF,@JAX,IND,NO,@DEN,GB,BYE,@NE,NYJ,MIA,@KC,@SEA,@MIN,BYE,DAL,ARI,NYG,@ATL,BYE,CLE
2024,6,@GB,@CAR,WSH,@NYJ,ATL,JAX,@NYG,@PHI,DET,LAC,@DAL,ARI,@NE,@TEN,@CHI,BYE,PIT,BYE,@DEN,BYE,BYE,HOU,TB,CIN,BUF,CLE,@LV,@SEA,SF,@NO,IND,@BAL
2024,7,LAC,SEA,@TB,TEN,@WSH,BYE,@CLE,CIN,BYE,@NO,@MIN,HOU,@GB,MIA,NE,@SF,@LAR,LV,@ARI,@IND,DET,@JAX,DEN,PHI,@PIT,@NYG,NYJ,KC,@ATL,BAL,@BUF,CAR
2024,8,@MIA,@TB,@CLE,@SEA,@DEN,@WSH,PHI,BAL,@SF,CAR,TEN,@JAX,IND,@HOU,GB,@LV,KC,MIN,NO,ARI,@LAR,NYJ,@LAC,@PIT,@NE,@CIN,NYG,DAL,BUF,ATL,@DET,CHI
2024,9,CHI,DAL,DEN,MIA,NO,@ARI,LV,LAC,@ATL,@BAL,@GB,DET,@NYJ,@MIN,@PHI,TB,@CIN,@SEA,@CLE,@BUF,IND,@TEN,@CAR,WSH,HOU,JAX,BYE,BYE,LAR,@KC,NE,@NYG
2024,10,NYJ,@NO,CIN,@IND,NYG,NE,@BAL,BYE,PHI,@KC,@HOU,BYE,DET,BUF,MIN,DEN,BYE,MIA,TEN,@LAR,@JAX,@CHI,ATL,@CAR,@ARI,@DAL,@WSH,@TB,BYE,SF,@LAC,PIT
